City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,Acarau,-2.89,-40.12,75.81,92,22,4.85,BR,2020-02-23 22:38:31
223,Kahului,20.89,-156.47,82.4,51,40,10.29,US,2020-02-23 22:33:33
224,Macherla,16.48,79.43,69.06,88,31,8.68,IN,2020-02-23 22:40:15
225,Roebourne,-20.78,117.13,84.85,51,6,11.36,AU,2020-02-23 22:40:16
226,Bend,44.06,-121.32,44.6,56,75,25.28,US,2020-02-23 22:40:16
227,Faanui,-16.48,-151.75,83.05,72,46,12.17,PF,2020-02-23 22:37:56
228,Nehe,48.48,124.83,9.93,91,25,7.29,CN,2020-02-23 22:40:17
229,Leh,34.17,77.58,-7.78,59,0,3.15,IN,2020-02-23 22:37:27
230,Tighina,46.83,29.47,46.4,61,100,3.36,MD,2020-02-23 22:40:17
231,Pochutla,15.74,-96.47,87.8,70,75,16.11,MX,2020-02-23 22:38:06
232,Adrar,20.5,-10.07,82.83,9,100,10.85,MR,2020-02-23 22:40:18
233,Santa Maria,-29.68,-53.81,78.8,47,0,10.29,BR,2020-02-23 22:36:11
234,Tampakan,6.44,124.93,76.75,68,41,1.28,PH,2020-02-23 22:37:27
235,Shaowu,27.34,117.48,54.99,83,100,3.65,CN,2020-02-23 22:40:19
236,Tomatlan,19.93,-105.25,86.85,30,32,6.44,MX,2020-02-23 22:40:19
237,Mexicali,32.65,-115.47,78.8,21,1,5.82,MX,2020-02-23 22:36:16
238,Mingaora,34.78,72.36,40.57,39,66,8.03,PK,2020-02-23 22:40:19
239,Lavrentiya,65.58,-171.0,-5.19,77,0,5.19,RU,2020-02-23 22:37:03
240,Shar,49.59,81.05,10.6,97,100,1.81,KZ,2020-02-23 22:40:20
241,Gboko,7.32,9.0,81.45,12,15,6.24,NG,2020-02-23 22:40:21
242,Annau,37.89,58.52,46.4,93,0,4.7,TM,2020-02-23 22:40:21
243,Tadine,-21.55,167.88,81.72,68,48,13.11,NC,2020-02-23 22:40:21
244,Arlit,18.74,7.39,64.71,19,13,8.16,NE,2020-02-23 22:40:21
245,Kudahuvadhoo,2.67,72.89,82.65,79,100,16.91,MV,2020-02-23 22:37:59
246,Muros,42.78,-9.06,55.99,100,0,1.28,ES,2020-02-23 22:37:16
247,Rincon,32.3,-81.24,66.2,36,75,8.05,US,2020-02-23 22:40:22
248,Kaitangata,-46.28,169.85,64.0,60,98,11.01,NZ,2020-02-23 22:31:22
249,Rancho Palos Verdes,33.74,-118.39,69.01,72,40,11.41,US,2020-02-23 22:40:20
250,Hamilton,39.18,-84.53,53.6,27,90,11.41,US,2020-02-23 22:36:46
251,Leshan,29.56,103.76,49.48,80,26,1.92,CN,2020-02-23 22:36:04
252,Klaksvik,62.23,-6.59,37.4,59,12,19.46,FO,2020-02-23 22:32:16
253,Yajalon,17.23,-92.33,78.8,65,40,5.82,MX,2020-02-23 22:40:24
254,Houma,29.6,-90.72,69.8,63,1,9.17,US,2020-02-23 22:36:14
255,Camacupa,-12.02,17.48,64.38,97,100,5.75,AO,2020-02-23 22:40:24
256,Pappadatai,39.31,20.79,46.4,93,41,2.1,GR,2020-02-23 22:40:25
257,Hilo,19.73,-155.09,80.6,57,1,14.99,US,2020-02-23 22:35:56
258,Ponta Do Sol,32.67,-17.1,69.01,52,20,18.34,PT,2020-02-23 22:36:45
259,Torbay,47.67,-52.73,32.0,79,20,16.11,CA,2020-02-23 22:36:59
260,Ukiah,39.15,-123.21,64.99,42,1,14.99,US,2020-02-23 22:39:14
261,Huarmey,-10.07,-78.15,76.15,62,87,3.74,PE,2020-02-23 22:40:26
262,Malpe,13.35,74.72,77.0,78,100,4.7,IN,2020-02-23 22:38:16
263,Pismo Beach,35.14,-120.64,66.0,77,1,13.87,US,2020-02-23 22:39:26
264,Puerto Maldonado,-12.6,-69.18,33.8,100,75,2.24,PE,2020-02-23 22:40:27
265,Turayf,31.67,38.66,51.8,66,100,20.8,SA,2020-02-23 22:40:27
266,Roald,62.58,6.13,35.6,70,75,8.05,NO,2020-02-23 22:35:51
267,Qaqortoq,60.72,-46.03,24.8,53,100,11.41,GL,2020-02-23 22:38:09
268,Barranca,-10.75,-77.77,73.9,88,0,9.82,PE,2020-02-23 22:40:29
269,Evensk,61.95,159.23,0.28,92,100,4.43,RU,2020-02-23 22:40:30
270,Fortuna,40.6,-124.16,55.0,81,75,8.05,US,2020-02-23 22:40:30
271,Uyemskiy,64.47,40.85,33.8,95,90,8.95,RU,2020-02-23 22:40:31
272,Hargeysa,9.56,44.06,58.66,94,50,9.89,SO,2020-02-23 22:40:31
273,Maumere,-8.62,122.21,80.38,79,31,8.99,ID,2020-02-23 22:38:02
274,Chern,53.45,36.91,28.71,92,29,11.63,RU,2020-02-23 22:40:31
275,Moron,-34.65,-58.62,78.01,47,10,6.93,AR,2020-02-23 22:39:11
276,Erzin,36.96,36.2,52.0,93,75,2.24,TR,2020-02-23 22:40:32
277,Warmbad,-28.45,18.73,74.62,24,0,7.36,NA,2020-02-23 22:40:32
278,Albertville,34.27,-86.21,55.0,84,90,3.53,US,2020-02-23 22:37:16
279,Compostela,7.67,126.09,75.54,83,60,4.61,PH,2020-02-23 22:40:33
280,Ouesso,1.61,16.05,74.57,76,87,3.87,CG,2020-02-23 22:40:33
281,Tessalit,20.2,1.01,71.01,16,2,13.15,ML,2020-02-23 22:40:34
282,Twante,16.72,95.93,73.4,83,40,4.7,MM,2020-02-23 22:40:34
283,San Cristobal,7.77,-72.22,82.4,65,40,2.24,VE,2020-02-23 22:32:21
284,Uyuni,-20.46,-66.83,59.5,54,1,21.21,BO,2020-02-23 22:40:35
285,Ahuimanu,21.44,-157.84,80.6,65,20,9.17,US,2020-02-23 22:40:35
286,Tailai,46.38,123.4,15.67,79,1,8.72,CN,2020-02-23 22:40:35
287,Pilar,-9.6,-35.96,80.6,83,20,8.05,BR,2020-02-23 22:40:35
288,Kormilovka,55.0,74.1,19.4,79,75,2.24,RU,2020-02-23 22:40:35
289,Ancud,-41.87,-73.82,57.2,62,75,8.05,CL,2020-02-23 22:36:13
290,San Luis,-33.3,-66.34,72.34,44,0,10.65,AR,2020-02-23 22:33:21
291,Povenets,62.85,34.83,31.55,92,99,8.41,RU,2020-02-23 22:40:36
292,Vila Velha,-20.33,-40.29,77.0,69,90,11.41,BR,2020-02-23 22:33:06
293,Edd,13.93,41.69,78.46,47,46,1.77,ER,2020-02-23 22:40:37
294,Baruun-Urt,46.68,113.28,9.72,87,100,6.96,MN,2020-02-23 22:37:38
295,Whitehorse,60.72,-135.05,26.01,73,75,9.17,CA,2020-02-23 22:38:09
296,Fairbanks,64.84,-147.72,0.0,70,40,3.36,US,2020-02-23 22:36:45
297,Ostrovnoy,68.05,39.51,29.7,93,100,14.52,RU,2020-02-23 22:37:18
298,Saquarema,-22.92,-42.51,75.2,73,90,6.93,BR,2020-02-23 22:40:38
299,Tubmanburg,6.87,-10.82,78.12,94,37,3.04,LR,2020-02-23 22:40:38
300,Korla,41.76,86.15,28.6,42,100,6.38,CN,2020-02-23 22:37:38
301,Bull Savanna,17.89,-77.59,69.08,94,96,3.89,JM,2020-02-23 22:40:39
302,Nanortalik,60.14,-45.24,26.91,87,100,4.5,GL,2020-02-23 22:36:22
